,Centre_Name,Commodity_Name,Season,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,AGARTALA,Moong Dal,Zaid,19.21207282,21.40620927,23.84295976,26.19529747,28.21552937,32.51760905,34.1105728,35.53554829,36.9315613,38.59097315,40.11952713,42.58973156,44.4801374,47.21882952,42.78591682,41.37570462,41.0,70.54838709677419,65.82051282051282,61.0,72.82352941176471,74.48275862068965,73.92857142857143,78.275826,81.24799,84.70098,88.252304,91.83389,95.36664,98.77786,102.00969,105.02056
14,AGARTALA,Mustard Oil,Kharif,32.475,35.38157894736842,37.65,38.95652173913044,37.04545454545455,54.42105263157895,47.80952380952381,39.57142857142857,39.86363636363637,45.77272727272727,57.63636363636363,54.45454545454545,52.42307692307692,50.19047619047619,59.54545454545455,81.95454545454545,65.04545454545455,67.69565217391305,87.2,108.0,103.9510638,114.3669604,121.9952367,130.1868,134.78497,140.12093,144.98537,149.60706,153.92776,157.89095,161.4491,164.56955
15,AGARTALA,Mustard Oil,Rabi,33.25,35.791666666666664,40.13235294117647,39.625,37.75,50.42857142857143,55.81818181818182,44.31818181818182,40.85,42.45238095238095,55.36363636363637,58.09090909090909,53.0,52.63636363636363,58.142857142857146,74.0,73.14285714285714,69.1,80.88888888888889,100.0,103.9510638,114.3669604,121.9952367,119.97153,120.46493,121.933044,124.21536,127.04573,130.27286,133.79004,137.51102,141.36082
16,AGARTALA,Mustard Oil,Zaid,30.16715368,33.5,36.85714285714285,38.0,38.5,41.0,45.0,41.22222222222222,41.11111111111112,39.888888888888886,58.44444444444444,55.125,51.81818181818182,49.77777777777778,56.5,69.33333333333333,69.33333333333333,62.125,79.375,106.71428571428572,103.9510638,114.3669604,121.9952367,113.46777,110.22399,109.123825,109.67871,111.144455,113.09979,115.28572,117.53799,119.75826
17,AGARTALA,Onion,Kharif,7.970767085,8.881077532,9.892044477,10.86798998,11.70615034,19.44,12.1747572815534,11.4,11.35576923076923,11.25,11.438317757009347,10.4392523364486,11.39622641509434,10.40952380952381,19.245283018867923,13.433962264150944,17.245283018867923,19.85576923076923,20.67391304347826,16.514285714285716,45.34782608695652,33.43956043956044,24.00729927,25.759232,26.766191,28.099735,29.174671,29.891779,30.298662,30.494555,30.583206,30.650198
18,AGARTALA,Onion,Rabi,7.970767085,8.881077532,9.892044477,10.86798998,18.04,25.73469387755102,12.623762376237623,10.048543689320388,12.12,9.365,11.07920792079208,12.627450980392156,14.05940594059406,10.8252427184466,17.75,14.83495145631068,26.31683168316832,32.24175824175824,29.07792207792208,20.138461538461534,39.41558441558441,26.89887640449438,28.839285714285715,26.308777,26.872103,28.019182,29.08973,29.849531,30.278215,30.457447,30.495789,30.489126
19,AGARTALA,Onion,Zaid,7.970767085,8.881077532,9.892044477,10.86798998,11.70615034,8.756756756756756,10.461538461538462,8.421052631578947,9.157894736842104,9.045454545454543,8.842105263157896,10.052631578947368,9.0,9.0,13.023809523809524,10.0,16.36842105263158,14.516129032258064,14.128205128205128,14.954545454545457,21.0,19.814814814814813,27.0,19.512394,18.328217,18.659431,19.542067,20.457054,21.175049,21.649555,21.92054,22.057217
20,AGARTALA,Palm Oil (Packed),Kharif,16.29649095,18.15765009,20.22460469,22.21995681,23.93360276,27.5828083,28.93402738,30.14275173,31.32690888,32.73449204,34.03107604,35.36431054,36.93400579,39.20807409,41.87554639,45.69072165,47.198113207547166,51.2410104,64.12429497,70.61669765,68.18515258,69.51189159,67.35165975,72.75797,77.331184,82.36677,87.19586,91.87252,96.3909,100.74457,104.91517,108.88698
21,AGARTALA,Palm Oil (Packed),Rabi,16.29649095,18.15765009,20.22460469,22.21995681,23.93360276,27.5828083,28.93402738,30.14275173,31.32690888,32.73449204,34.03107604,35.36431054,36.93400579,39.20807409,41.87554639,47.0,47.40594059405941,48.0,64.12429497,70.61669765,68.18515258,69.51189159,67.35165975,72.02812,75.80428,79.64244,83.18145,86.52058,89.774536,92.99495,96.16647,99.236404
22,AGARTALA,Palm Oil (Packed),Zaid,16.29649095,18.15765009,20.22460469,22.21995681,23.93360276,27.5828083,28.93402738,30.14275173,31.32690888,32.73449204,34.03107604,35.36431054,36.93400579,39.20807409,41.87554639,45.69072165,47.23684210526316,51.2410104,64.12429497,70.61669765,68.18515258,69.51189159,67.35165975,71.5808,75.07415,78.666916,82.0535,85.31043,88.52773,91.73851,94.91537,97.9973
